alg_name,K,n,error_bool,meas_error_bool,error_rate,positive,number_of_runs,T
object,int64,int64,bool,bool,float64,int64,int64,int64
Signal,60,60,True,True,0.0373,110,3200,1000
Signal,60,60,True,True,0.0518,255,1600,200
Signal,60,60,True,True,0.072,1166,6400,50
Signal,70,70,True,True,0.0139,0,4507200,1000
Signal,70,70,True,True,0.0193,2,4327680,1000
Signal,70,70,True,True,0.0268,100,788480,1000
Signal,70,70,True,True,0.0373,101,4480,1000
Signal,70,70,True,True,0.0518,227,1600,200
Signal,70,70,True,True,0.072,1102,6400,50
Signal,80,80,True,True,0.0139,0,4306880,1000
Signal,80,80,True,True,0.0193,0,4306880,1000
Signal,80,80,True,True,0.0268,100,1964480,1000
Signal,80,80,True,True,0.0373,105,6080,1000
Signal,80,80,True,True,0.0518,200,1600,200
Signal,80,80,True,True,0.072,965,6400,50
Signal,90,90,True,True,0.0139,0,3305280,1000
Signal,90,90,True,True,0.0193,0,4306880,1000
Signal,90,90,True,True,0.0268,94,3011200,1000
Signal,90,90,True,True,0.0373,102,6720,1000
Signal,90,90,True,True,0.0518,182,1600,200
Signal,90,90,True,True,0.072,945,6400,50
Signal,100,100,True,True,0.0193,0,5608960,1000
Signal,100,100,True,True,0.0268,62,2872320,1000
Signal,100,100,True,True,0.0373,104,9600,1000
Signal,100,100,True,True,0.0518,161,1600,200
Signal,100,100,True,True,0.072,854,6400,50
Signal,25,25,True,True,0.0027,0,3405440,1000
Signal,25,25,True,True,0.0037,0,4507200,1000
Signal,25,25,True,True,0.0052,0,5208320,1000
Signal,25,25,True,True,0.0072,0,3205120,1000
Signal,25,25,True,True,0.01,2,3288320,1000
Signal,25,25,True,True,0.0139,83,4366400,1000
Signal,25,25,True,True,0.0193,100,253440,1000
Signal,25,25,True,True,0.0268,102,9600,1000
Signal,25,25,True,True,0.0373,128,960,1000
Signal,25,25,True,True,0.0518,426,3200,100
Signal,25,25,True,True,0.072,1854,6400,50
Signal,17,17,True,True,0.0014,0,1602560,1000
Signal,17,17,True,True,0.0019,0,2003200,1000
Signal,17,17,True,True,0.0027,0,2003200,1000
Signal,17,17,True,True,0.0037,0,2103360,1000
Signal,17,17,True,True,0.0052,0,1702720,1000
Signal,17,17,True,True,0.0072,2,3251200,1000
Signal,17,17,True,True,0.01,81,3393600,1000
Signal,17,17,True,True,0.0139,100,419840,1000
Signal,17,17,True,True,0.0193,102,30400,1000
Signal,17,17,True,True,0.0268,106,2880,1000
Signal,17,17,True,True,0.0373,189,1280,500
Signal,17,17,True,True,0.0518,584,3200,100
Signal,17,17,True,True,0.072,2079,16000,20
Toom,3,9,True,True,0.001,96,7284480,1000
Toom,3,9,True,True,0.0014,100,2472320,1000
Toom,3,9,True,True,0.0019,100,837120,1000
Toom,3,9,True,True,0.0027,100,340160,1000
Toom,3,9,True,True,0.0037,101,114880,1000
Toom,3,9,True,True,0.0052,102,35520,1000
Toom,3,9,True,True,0.0072,100,13760,1000
Toom,3,9,True,True,0.01,101,3520,1000
Toom,3,9,True,True,0.0139,115,1600,1000
Toom,3,9,True,True,0.0193,115,640,1000
Toom,3,9,True,True,0.0268,222,1600,200
Toom,3,9,True,True,0.0373,587,6400,50
Toom,3,9,True,True,0.0518,1520,6400,50
Toom,3,9,True,True,0.072,3965,32000,10
Toom,4,16,True,True,0.001,0,7612160,1000
Toom,4,16,True,True,0.0014,3,9978880,1000
Toom,4,16,True,True,0.0019,7,9917760,1000
Toom,4,16,True,True,0.0027,28,9967040,1000
Toom,4,16,True,True,0.0037,100,7852480,1000
Toom,4,16,True,True,0.0052,100,1814080,1000
Toom,4,16,True,True,0.0072,100,373440,1000
Toom,4,16,True,True,0.01,100,64320,1000
Toom,4,16,True,True,0.0139,101,15360,1000
Toom,4,16,True,True,0.0193,102,2880,1000
Toom,4,16,True,True,0.0268,107,640,1000
Toom,4,16,True,True,0.0373,229,1600,200
Toom,4,16,True,True,0.0518,847,6400,50
Toom,4,16,True,True,0.072,2490,16000,20
Toom,5,25,True,True,0.001,0,9815680,1000
Toom,5,25,True,True,0.0014,0,9915840,1000
Toom,5,25,True,True,0.0019,0,8814080,1000
Toom,5,25,True,True,0.0027,0,9915840,1000
Toom,5,25,True,True,0.0037,1,9924480,1000
Toom,5,25,True,True,0.0052,8,6651840,1000
Toom,5,25,True,True,0.0072,56,6886400,1000
Toom,5,25,True,True,0.01,100,1438080,1000
Toom,5,25,True,True,0.0139,100,171520,1000
Toom,5,25,True,True,0.0193,103,19200,1000
Toom,5,25,True,True,0.0268,100,1920,1000
Toom,5,25,True,True,0.0373,197,1280,500
Toom,5,25,True,True,0.0518,566,3200,100
Toom,5,25,True,True,0.072,1923,16000,20
Toom,6,36,True,True,0.001,0,8914240,1000
Toom,6,36,True,True,0.0014,0,9915840,1000
Toom,6,36,True,True,0.0019,0,2403840,1000
Toom,6,36,True,True,0.0027,0,9915840,1000
Toom,6,36,True,True,0.0037,1,5880960,1000
Toom,6,36,True,True,0.0052,0,3405440,1000
Toom,6,36,True,True,0.0072,3,9909760,1000
Toom,6,36,True,True,0.01,49,9905920,1000
Toom,6,36,True,True,0.0139,100,1576640,1000
Toom,6,36,True,True,0.0193,100,96320,1000
Toom,6,36,True,True,0.0268,101,6720,1000
Toom,6,36,True,True,0.0373,129,960,1000
Toom,6,36,True,True,0.0518,400,3200,100
Toom,6,36,True,True,0.072,1657,6400,50
Toom,7,49,True,True,0.001,0,2704320,1000
Toom,7,49,True,True,0.0014,0,9915840,1000
Toom,7,49,True,True,0.0019,0,6310080,1000
Toom,7,49,True,True,0.0027,0,9915840,1000
Toom,7,49,True,True,0.0037,0,2303680,1000
Toom,7,49,True,True,0.0052,0,2303680,1000
Toom,7,49,True,True,0.0072,0,2203520,1000
Toom,7,49,True,True,0.01,4,9988800,1000
Toom,7,49,True,True,0.0139,57,7163200,1000
Toom,7,49,True,True,0.0193,100,471040,1000
Toom,7,49,True,True,0.0268,103,22080,1000
Toom,7,49,True,True,0.0373,102,1280,1000
Toom,7,49,True,True,0.0518,290,1600,200
Toom,7,49,True,True,0.072,1483,6400,50
Toom,8,64,True,True,0.001,0,2804480,1000
Toom,8,64,True,True,0.0014,0,9915840,1000
Toom,8,64,True,True,0.0019,0,6009600,1000
Toom,8,64,True,True,0.0027,0,9915840,1000
Toom,8,64,True,True,0.0037,0,2804480,1000
Toom,8,64,True,True,0.0052,0,2403840,1000
Toom,8,64,True,True,0.0072,0,500800,1000
Toom,8,64,True,True,0.01,0,9915840,1000
Toom,8,64,True,True,0.0139,6,9920000,1000
Toom,8,64,True,True,0.0193,100,5104960,1000
Toom,8,64,True,True,0.0268,101,105600,1000
Toom,8,64,True,True,0.0373,102,2880,1000
Toom,8,64,True,True,0.0518,195,1600,200
Toom,8,64,True,True,0.072,1208,6400,50
Toom,9,81,True,True,0.001,0,2804480,1000
Toom,9,81,True,True,0.0014,0,9915840,1000
Toom,9,81,True,True,0.0019,0,6209920,1000
Toom,9,81,True,True,0.0027,0,9915840,1000
Toom,9,81,True,True,0.0037,0,3104960,1000
Toom,9,81,True,True,0.0052,0,2403840,1000
Toom,9,81,True,True,0.0072,0,701120,1000
Toom,9,81,True,True,0.01,0,9915840,1000
Toom,9,81,True,True,0.0139,1,9954240,1000
Toom,9,81,True,True,0.0193,24,9967040,1000
Toom,9,81,True,True,0.0268,100,346240,1000
Toom,9,81,True,True,0.0373,100,5120,1000
Toom,9,81,True,True,0.0518,157,640,500
Toom,9,81,True,True,0.072,1049,6400,50
Toom,10,100,True,True,0.001,0,9915840,1000
Toom,10,100,True,True,0.0014,0,9915840,1000
Toom,10,100,True,True,0.0019,0,5909440,1000
Toom,10,100,True,True,0.0027,0,9915840,1000
Toom,10,100,True,True,0.0037,0,2203520,1000
Toom,10,100,True,True,0.0052,0,2303680,1000
Toom,10,100,True,True,0.0072,0,600960,1000
Toom,10,100,True,True,0.01,0,9915840,1000
Toom,10,100,True,True,0.0139,0,9915840,1000
Toom,10,100,True,True,0.0193,8,7164800,1000
Toom,10,100,True,True,0.0268,100,1111680,1000
Toom,10,100,True,True,0.0373,104,12480,1000
Toom,10,100,True,True,0.0518,127,640,500
Toom,10,100,True,True,0.072,726,6400,50
