alg_name,K,n,bidirectional_bool,anti_signal_velocity,residual_signal_velocity,error_bool,meas_error_bool,error_rate,meas_error_rate,positive,number_of_runs,T
object,int64,int64,bool,int64,int64,bool,bool,float64,float64,int64,int64,int64
Signal,9,9,True,3,3,True,True,0.02,0.035,160,960,1000
Signal,15,15,True,3,3,True,True,0.02,0.035,112,2560,1000
Signal,25,25,True,3,3,True,True,0.02,0.035,101,12800,1000
Signal,9,9,True,3,3,True,True,0.02,0.04,187,1280,500
Signal,15,15,True,3,3,True,True,0.02,0.04,115,1280,1000
Signal,25,25,True,3,3,True,True,0.02,0.04,104,6400,1000
Signal,9,9,True,3,3,True,True,0.025,0.005,105,2880,1000
Signal,15,15,True,3,3,True,True,0.025,0.005,101,40000,1000
Signal,25,25,True,3,3,True,True,0.025,0.005,100,1145600,1000
Signal,9,9,True,3,3,True,True,0.025,0.01,105,1920,1000
Signal,15,15,True,3,3,True,True,0.025,0.01,101,19200,1000
Signal,25,25,True,3,3,True,True,0.025,0.01,100,327680,1000
Signal,9,9,True,3,3,True,True,0.025,0.015,112,1280,1000
Signal,15,15,True,3,3,True,True,0.025,0.015,102,10240,1000
Signal,25,25,True,3,3,True,True,0.025,0.015,100,115520,1000
Signal,9,9,True,3,3,True,True,0.025,0.02,116,960,1000
Signal,15,15,True,3,3,True,True,0.025,0.02,104,4800,1000
Signal,25,25,True,3,3,True,True,0.025,0.02,100,40000,1000
Signal,9,9,True,3,3,True,True,0.025,0.025,134,960,1000
Signal,15,15,True,3,3,True,True,0.025,0.025,103,2560,1000
Signal,25,25,True,3,3,True,True,0.025,0.025,101,19840,1000
Signal,9,9,True,3,3,True,True,0.025,0.03,149,1280,500
Signal,15,15,True,3,3,True,True,0.025,0.03,114,1920,1000
Signal,25,25,True,3,3,True,True,0.025,0.03,102,7040,1000
Signal,9,9,True,3,3,True,True,0.025,0.035,193,1280,500
Signal,15,15,True,3,3,True,True,0.025,0.035,110,1280,1000
Signal,25,25,True,3,3,True,True,0.025,0.035,103,4800,1000
Signal,9,9,True,3,3,True,True,0.025,0.04,149,640,500
Signal,15,15,True,3,3,True,True,0.025,0.04,120,960,1000
Signal,25,25,True,3,3,True,True,0.025,0.04,105,2560,1000
Signal,9,9,True,3,3,True,True,0.03,0.005,114,1600,1000
Signal,15,15,True,3,3,True,True,0.03,0.005,100,14720,1000
Signal,25,25,True,3,3,True,True,0.03,0.005,100,221760,1000
Signal,9,9,True,3,3,True,True,0.03,0.01,118,1280,1000
Signal,15,15,True,3,3,True,True,0.03,0.01,103,8320,1000
Signal,25,25,True,3,3,True,True,0.03,0.01,100,66560,1000
Signal,9,9,True,3,3,True,True,0.03,0.015,135,960,1000
Signal,15,15,True,3,3,True,True,0.03,0.015,101,4160,1000
Signal,25,25,True,3,3,True,True,0.03,0.015,100,34240,1000
Signal,9,9,True,3,3,True,True,0.03,0.02,126,640,1000
Signal,15,15,True,3,3,True,True,0.03,0.02,113,2560,1000
Signal,25,25,True,3,3,True,True,0.03,0.02,103,15040,1000
Signal,9,9,True,3,3,True,True,0.03,0.025,158,1280,500
Signal,15,15,True,3,3,True,True,0.03,0.025,100,1600,1000
Signal,25,25,True,3,3,True,True,0.03,0.025,106,8640,1000
Signal,9,9,True,3,3,True,True,0.03,0.03,117,640,500
Signal,15,15,True,3,3,True,True,0.03,0.03,106,960,1000
Signal,25,25,True,3,3,True,True,0.03,0.03,103,3520,1000
Signal,9,9,True,3,3,True,True,0.03,0.035,156,1600,200
Signal,15,15,True,3,3,True,True,0.03,0.035,142,960,1000
Signal,25,25,True,3,3,True,True,0.03,0.035,114,2240,1000
Signal,9,9,True,3,3,True,True,0.03,0.04,191,1600,200
Signal,15,15,True,3,3,True,True,0.03,0.04,138,640,1000
Signal,25,25,True,3,3,True,True,0.03,0.04,108,1280,1000
Signal,9,9,True,3,3,True,True,0.035,0.005,108,960,1000
Signal,15,15,True,3,3,True,True,0.035,0.005,101,5120,1000
Signal,25,25,True,3,3,True,True,0.035,0.005,100,63680,1000
Signal,9,9,True,3,3,True,True,0.035,0.01,101,640,1000
Signal,15,15,True,3,3,True,True,0.035,0.01,108,3200,1000
Signal,25,25,True,3,3,True,True,0.035,0.01,100,28480,1000
Signal,9,9,True,3,3,True,True,0.035,0.015,162,1280,500
Signal,15,15,True,3,3,True,True,0.035,0.015,103,1920,1000
Signal,25,25,True,3,3,True,True,0.035,0.015,101,12800,1000
Signal,9,9,True,3,3,True,True,0.035,0.02,176,1280,500
Signal,15,15,True,3,3,True,True,0.035,0.02,105,1280,1000
Signal,25,25,True,3,3,True,True,0.035,0.02,103,6400,1000
Signal,9,9,True,3,3,True,True,0.035,0.025,134,640,500
Signal,15,15,True,3,3,True,True,0.035,0.025,120,960,1000
Signal,25,25,True,3,3,True,True,0.035,0.025,103,3840,1000
Signal,9,9,True,3,3,True,True,0.035,0.03,171,1600,200
Signal,15,15,True,3,3,True,True,0.035,0.03,110,1280,500
Signal,25,25,True,3,3,True,True,0.035,0.03,103,1920,1000
Signal,9,9,True,3,3,True,True,0.035,0.035,253,1600,200
Signal,15,15,True,3,3,True,True,0.035,0.035,155,1280,500
Signal,25,25,True,3,3,True,True,0.035,0.035,125,1280,1000
Signal,9,9,True,3,3,True,True,0.035,0.04,274,1600,200
Signal,15,15,True,3,3,True,True,0.035,0.04,118,640,500
Signal,25,25,True,3,3,True,True,0.035,0.04,147,960,1000
Signal,9,9,True,3,3,True,True,0.04,0.005,147,1280,500
Signal,15,15,True,3,3,True,True,0.04,0.005,109,3200,1000
Signal,25,25,True,3,3,True,True,0.04,0.005,100,24640,1000
Signal,9,9,True,3,3,True,True,0.04,0.01,198,1280,500
Signal,15,15,True,3,3,True,True,0.04,0.01,117,1600,1000
Signal,25,25,True,3,3,True,True,0.04,0.01,101,8640,1000
Signal,9,9,True,3,3,True,True,0.04,0.015,115,640,500
Signal,15,15,True,3,3,True,True,0.04,0.015,128,1600,1000
Signal,25,25,True,3,3,True,True,0.04,0.015,102,5120,1000
Signal,9,9,True,3,3,True,True,0.04,0.02,148,640,500
Signal,15,15,True,3,3,True,True,0.04,0.02,115,960,1000
Signal,25,25,True,3,3,True,True,0.04,0.02,103,3200,1000
Signal,9,9,True,3,3,True,True,0.04,0.025,172,1600,200
Signal,15,15,True,3,3,True,True,0.04,0.025,122,1280,500
Signal,25,25,True,3,3,True,True,0.04,0.025,116,1600,1000
Signal,9,9,True,3,3,True,True,0.04,0.03,251,1600,200
Signal,15,15,True,3,3,True,True,0.04,0.03,178,1280,500
Signal,25,25,True,3,3,True,True,0.04,0.03,103,960,1000
Signal,9,9,True,3,3,True,True,0.04,0.035,351,3200,100
Signal,15,15,True,3,3,True,True,0.04,0.035,118,640,500
Signal,25,25,True,3,3,True,True,0.04,0.035,108,640,1000
Signal,9,9,True,3,3,True,True,0.04,0.04,407,3200,100
Signal,15,15,True,3,3,True,True,0.04,0.04,337,3200,200
Signal,25,25,True,3,3,True,True,0.04,0.04,148,1280,500
